CFchLF3nlf5,2020-09-22 16:31:03,130361,0,1
CFYKJlLBJro,2020-09-21 00:01:48,134122,1616,0
CFSKcpkHan6,2020-09-18 16:00:04,129764,0,0
CFPzcZ5n_A4,2020-09-17 18:00:34,102962,0,2
CFKOeNOHY0n,2020-09-15 14:01:18,155330,0,1
CFG0-c3hU04,2020-09-14 06:20:48,1654833,15578,16
CFC2YlphCUo,2020-09-12 17:16:08,369137,3667,0
CE5By8aHbN9,2020-09-08 21:43:27,549905,3416,0
CE4Too1H1vk,2020-09-08 16:00:24,169568,1935,0
CEwzA14nXcM,2020-09-05 17:00:21,2602309,15431,0
CEuAixgnC-9,2020-09-04 15:01:10,280183,3152,1
CErbu64HnZ1,2020-09-03 15:00:43,858377,3636,0
CEpL1f3HwWn,2020-09-02 18:03:20,340877,2189,0
CEnaiXpnoWR,2020-09-02 01:33:19,506220,1317,0
CEnRT_MnNOa,2020-09-02 00:12:42,154587,1155,0
CEm4L5gn1Bf,2020-09-01 20:34:11,162895,1189,0
CEmSMHwHeIj,2020-09-01 15:01:31,207084,2254,0
CEkG6fVHgvw,2020-08-31 18:46:23,129966,1265,0
CEjtY9KH9bg,2020-08-31 15:01:29,285575,3403,0
CEiU-mIH7ds,2020-08-31 02:10:04,151071,1194,0
CEhIkw2H8hN,2020-08-30 15:01:14,778191,9994,1
CEejzZdn5vK,2020-08-29 15:01:25,258942,2861,0
CEc4BsuHM0s,2020-08-28 23:20:07,188197,1460,0
CEb_IJenL08,2020-08-28 15:02:37,421468,5127,0
CEazcOxHebk,2020-08-28 04:01:42,376365,7739,7
CEav2jYB12H,2020-08-28 03:29:26,1444171,7576,6
CEaiCfPHDjD,2020-08-28 01:28:44,510611,2072,0
CEZZR-3nd0m,2020-08-27 15:02:45,436029,3269,0
CEYmtQInzo9,2020-08-27 07:31:03,5550203,79695,45
CEW2GLCnFNw,2020-08-26 15:07:23,338236,3255,0
CEUsAUcHhvT,2020-08-25 19:00:23,687134,2062,6
CEUXZbNnhop,2020-08-25 16:00:54,155588,1630,13
CESGkl6H_AB,2020-08-24 18:56:55,221947,3107,0
CERnKaFHqdV,2020-08-24 14:20:21,1344907,14705,0
CEHsqfDHqLN,2020-08-20 18:00:19,423951,6367,0
CEHYoERHpwn,2020-08-20 15:03:39,388527,5294,0
CEGLE6VHPhK,2020-08-20 03:44:26,164123,1186,0
CEFW9DonR31,2020-08-19 20:08:32,174964,1653,2
CEEweSxnNen,2020-08-19 14:31:34,272852,2018,4
CEC-RoXHwoT,2020-08-18 21:53:42,560457,2058,0
CEAearOnyQJ,2020-08-17 22:44:20,431568,3579,0
CD-jvjJnOPE,2020-08-17 04:44:53,333192,2690,0
CD9YXPKnI3J,2020-08-16 17:47:00,260911,2919,0
CD8LmVHnl10,2020-08-16 06:40:16,256187,2239,0
CD7ACV9H2Zy,2020-08-15 19:36:18,489101,4095,0
CD3_TrdHi3-,2020-08-14 15:31:04,360450,3249,7
CD3u03Lnu_P,2020-08-14 13:07:03,1301812,10509,0
CD2YDBRHbUe,2020-08-14 00:36:56,350518,3683,0
CD1W6SDn0wh,2020-08-13 15:01:37,508461,5720,0
CDz10mzHxfV,2020-08-13 00:51:13,1221382,8072,0
CDzHDKVnM6F,2020-08-12 18:02:31,700919,4671,0
CDxRlGqnJeT,2020-08-12 00:56:03,214182,1390,0
CDrLgoxHI0F,2020-08-09 16:08:31,385880,4132,0
CDknT3SHug2,2020-08-07 02:55:49,2960694,17535,25
CDjdTOVD-29,2020-08-06 16:09:06,449485,4670,1
CDgwqMUHiJ5,2020-08-05 15:00:32,1515925,9668,6
CDe76l6nej8,2020-08-04 22:00:25,534046,4205,0
CDeqnmLH5wl,2020-08-04 19:29:17,287042,1550,0
CDZgryBnfEG,2020-08-02 19:26:16,370944,4842,0
CDZRkklHofo,2020-08-02 17:14:12,1123714,7615,0
CDUUGDwn7si,2020-07-31 19:00:03,1195139,8543,0
CDRyPuyH8iX,2020-07-30 19:25:48,160942,2724,0
CDMPE1oH_Z1,2020-07-28 15:42:16,340119,3558,0
CDJ6GFkHuis,2020-07-27 18:00:28,1302400,9314,47
CDEz_q-nR96,2020-07-25 18:31:58,202038,2662,0
CDEi0ADHYdF,2020-07-25 16:00:49,1116866,8287,15
CDBxYG0nc0T,2020-07-24 14:10:21,322299,2703,0
CC9lqYQnNZI,2020-07-22 23:12:30,220258,2089,0
CC70yz7nlIA,2020-07-22 06:48:49,501801,5885,1
CC6dUGmHEW-,2020-07-21 18:00:22,648207,4872,0
CC5JjxPnOMr,2020-07-21 05:48:30,4605408,27900,40
CCwDQLqnhiZ,2020-07-17 17:00:30,886660,9269,0
CCpEElWHi6v,2020-07-14 23:52:42,1037093,4028,0
CCoGx_-Hegw,2020-07-14 15:00:42,463679,6597,0
CCn5lvJHhKs,2020-07-14 13:06:11,187732,2062,0
CClpJPUHhCl,2020-07-13 16:00:24,300042,4833,0
CCjZG4tnjzr,2020-07-12 19:01:14,596193,5980,0
CCgmonfHIHo,2020-07-11 17:01:33,620339,5559,0
CCfgyzcH5yW,2020-07-11 06:51:16,314407,2166,0
CCcoQSTHfXE,2020-07-10 04:00:30,374771,7881,0
CCbIbvYHvY2,2020-07-09 14:01:27,1197297,19073,21
CCY--xeH4j7,2020-07-08 18:01:23,169759,4824,56
CCXVF0xHMYh,2020-07-08 02:35:05,267557,2549,0
CCOsLAYnKTS,2020-07-04 18:04:32,167578,2082,2
CCKB26Bn9ba,2020-07-02 22:39:02,353595,4708,0
CCG98yjnUi2,2020-07-01 18:05:29,262136,4163,0
CCE8wnDn-w3,2020-06-30 23:16:09,745853,2676,0
CCEZABJnfyg,2020-06-30 18:09:24,239762,2948,0
CB2_BvinobJ,2020-06-25 13:15:10,704230,11798,0
CByXUx9H0C4,2020-06-23 18:02:42,967799,3333,0
CBwF9DdHx5k,2020-06-22 20:52:26,303775,2826,0
CBvkgUoHGRv,2020-06-22 16:04:50,438562,6387,1
CBui50xnqb8,2020-06-22 06:29:17,239828,2543,3
CBoisa6nyvn,2020-06-19 22:31:00,135970,1809,0
CBmL4sunOac,2020-06-19 00:33:10,345048,4652,3
CBhak2anSRn,2020-06-17 04:04:01,2573705,15101,19
CBhBHR3nwdh,2020-06-17 00:21:32,972761,2611,0
CBgWrlcjSkA,2020-06-16 18:10:45,158904,1752,0
CBdnRFjn7Ak,2020-06-15 16:37:58,687888,6828,1
CBJJ4rvHeNF,2020-06-07 17:56:25,1713054,14038,3
CBEYRJqnxQX,2020-06-05 21:25:53,661639,3936,0
CBBcbfzH0k1,2020-06-04 18:04:32,193629,2242,0
CA7HP4vn_hc,2020-06-02 07:04:00,578177,5686,8
CA1Sk3inHPQ,2020-05-31 00:51:49,238692,3204,0
CA01VzSHteJ,2020-05-30 20:33:54,250448,3003,0
CAxxbl3nw9Y,2020-05-29 16:01:47,172866,2359,0
CAw1_wdn0gd,2020-05-29 07:23:15,242725,3173,0
CAtTxPNnDZJ,2020-05-27 22:24:02,2562588,15590,8
CAsyYxnHVtx,2020-05-27 17:35:05,269112,3905,2
CAsdjbfHkwh,2020-05-27 14:31:01,180299,2001,0
CAqu-xmnKV0,2020-05-26 22:24:06,932849,3276,0
CAoxNzAn_h3,2020-05-26 04:06:41,256406,2704,0
CAniOvwHPm8,2020-05-25 16:36:23,200646,2972,0
CAlYNZcnwiG,2020-05-24 20:29:48,168317,2288,0
CAgjh7ln_9w,2020-05-22 23:31:59,492278,5721,0
CAdxJ1tH8zx,2020-05-21 21:32:57,1011214,8877,11
CAbFm9wHAvm,2020-05-20 20:33:58,936101,6263,1
CAZMxH4ns9a,2020-05-20 02:58:03,1235721,4973,0
CAYH-vRHGsH,2020-05-19 16:56:59,835532,5414,1
CAURF7CnudO,2020-05-18 05:00:36,242812,2021,0
CAT9FNInif-,2020-05-18 02:05:52,570298,5880,0
CATvjO5HMNU,2020-05-18 00:06:33,994938,5801,2
CATbzU7HEet,2020-05-17 21:13:59,2195217,9852,4
CAQyjyPnO2Z,2020-05-16 20:35:59,508887,6636,0
CAODOj0nsKn,2020-05-15 19:03:47,240878,2857,0
CAMcMCHHPKC,2020-05-15 04:03:00,934781,14645,13
CALKFdSnDQI,2020-05-14 16:05:15,4014452,25543,14
CALCugQH1yC,2020-05-14 15:01:48,144262,1520,1
CAJ3UZ4n9kr,2020-05-14 04:02:01,1095059,7893,0
CAI_HD-nMQj,2020-05-13 19:54:18,120021,1566,0
CAIXtzqnb8n,2020-05-13 14:06:37,694733,6642,0
CAGgoqpnEKV,2020-05-12 20:46:05,1267297,8565,12
CAENTuwHqW6,2020-05-11 23:18:43,621516,4799,0
CACncuZnsCo,2020-05-11 08:30:59,1814752,16839,34
CACHfHxHcKF,2020-05-11 03:49:22,1267033,5327,9
CABZOcHHK43,2020-05-10 21:05:08,1972995,9202,23
B_-oMbhnf-Z,2020-05-09 19:19:23,176490,2125,0
B_8LoAxnLrD,2020-05-08 20:30:05,233442,2057,0
B_7wW08HeWL,2020-05-08 16:31:49,196510,2323,6
B_5H9jPH3sA,2020-05-07 16:00:21,858019,20946,45
B_4MtEuHqjR,2020-05-07 07:22:33,256102,2674,0
B_0uaKpHUKj,2020-05-05 23:00:07,323627,2500,3
B_0S-7SHzdU,2020-05-05 19:00:28,188800,1515,0
B_y1HX9HVRa,2020-05-05 05:20:14,1156226,6879,24
B_v_0n6HP6f,2020-05-04 02:56:04,827652,4299,7
B_vXX5aHJqT,2020-05-03 21:05:04,595681,7857,8
B_jSnV-HZ0W,2020-04-29 04:30:09,1071667,5627,0
B_d-bQqHaqM,2020-04-27 02:57:32,697446,4470,20
B_dVV8vH00M,2020-04-26 21:13:01,426976,5795,27
B_QvkKTncNN,2020-04-21 23:37:33,470621,3724,0
B_Le8z6nyYy,2020-04-19 22:36:10,2386813,14736,5
B_JvoAgnG4k,2020-04-19 06:23:24,1791441,17680,19
B--wJHEnGFX,2020-04-14 23:56:16,563775,5560,0
B--VLLgnwqS,2020-04-14 20:00:37,271667,2507,0
B-5dIJRHD_E,2020-04-12 22:33:55,3091037,19707,23
B-xrZ5XnAEi,2020-04-09 22:04:45,178237,1863,0
B-tD5wdn0Ln,2020-04-08 03:02:36,448162,2626,0
B-n9pYxHg0K,2020-04-06 03:33:40,452072,2411,6
B-nX9OznQiZ,2020-04-05 22:04:01,422506,2391,0
B-i0HZ7HaFw,2020-04-04 03:32:15,3800456,63449,64
B-iMVpmn7Ki,2020-04-03 21:47:44,237191,2063,0
B-bAtu8HEmQ,2020-04-01 02:48:25,1513103,8363,1
B-VRch7nn2y,2020-03-29 21:19:11,2098566,14347,14
B-QTgbenItF,2020-03-27 23:04:32,541090,4103,0
B-PjpidnJ6T,2020-03-27 16:05:26,166164,1245,0
B-IXuQPHIUK,2020-03-24 21:03:54,275533,1864,0
B-F3_e9HMV1,2020-03-23 21:48:09,993028,3357,0
B-DOg3yHe67,2020-03-22 21:07:13,859436,4326,1
B97iBvnHUSI,2020-03-19 21:23:49,1766458,10081,17
B92lLflH7CZ,2020-03-17 23:15:09,519932,2470,0
B9z3I6VnjXO,2020-03-16 22:00:08,233858,1657,0
B9xQiGAnOPx,2020-03-15 21:40:05,560734,2689,0
B9oNvhDnNwB,2020-03-12 09:21:00,1267873,5505,2
B9mdRTAHXCk,2020-03-11 17:00:08,314700,3199,0
B9kbf_bHJV5,2020-03-10 22:04:15,1424767,3985,0
B9i2lLVHioD,2020-03-10 07:22:24,1174940,4613,19
B9gvRTNnP2H,2020-03-09 11:40:02,2612126,34451,16
B9fZsvaniHZ,2020-03-08 23:12:18,297928,1167,0
B9fLG9FHoz5,2020-03-08 21:05:51,204470,1210,0
B9cwKdsnLkR,2020-03-07 22:30:53,2678509,13018,5
B9Zsm7gnRJO,2020-03-06 18:02:23,252064,1302,0
B9Vuje3nc06,2020-03-05 05:02:30,2664135,38524,40
B9Vn0BOHIpR,2020-03-05 04:03:14,917088,4666,0
B9UmNAXHGRZ,2020-03-04 18:30:15,1248652,17007,55
B9SJjyGnlHP,2020-03-03 19:41:09,656372,2842,0
B9N4vFmnBnX,2020-03-02 03:59:03,439683,2117,0
B9NToX3nPXb,2020-03-01 22:33:48,166002,865,0
B9NJTAGnWUH,2020-03-01 21:02:39,150966,1664,4
B9ApgciHsiZ,2020-02-26 00:33:59,201695,1384,0
B873QzrHIoC,2020-02-24 03:57:59,934261,3859,9
B87So4hnrMj,2020-02-23 22:43:09,295175,2146,0
B85oq4MHFa2,2020-02-23 07:11:59,2383721,23057,3
B82QOjinrUv,2020-02-21 23:47:00,150465,1045,0
B8ww2BeHKUd,2020-02-19 20:30:43,185357,1161,0
B8vLLrkH5FJ,2020-02-19 05:41:55,963018,8963,0
B8p4vA9H00n,2020-02-17 04:24:31,1431578,9062,6
B8pOSfPn8OJ,2020-02-16 22:14:53,152165,1001,0
B8lRyG2Hzl4,2020-02-15 09:27:11,2105257,7791,23
B8jbOimnr0c,2020-02-14 16:11:45,193072,1578,0
B8fj0yiHxjY,2020-02-13 04:09:23,453254,2558,0
B8ckwoAHBxP,2020-02-12 00:19:50,451232,1502,0
B8X0Z5WHN86,2020-02-10 04:00:21,470772,2573,0
B8WrfbyHGI4,2020-02-09 17:27:08,456969,17264,0
B8Ui4LvnT4k,2020-02-08 21:30:54,117937,725,0
B8SUROIH2NN,2020-02-08 00:43:20,177300,1301,0
B8Rh3V5nlOf,2020-02-07 17:23:18,207988,1292,0
B8O4Ts0ng_L,2020-02-06 16:41:17,246623,1089,0
B8MJc0xn7yH,2020-02-05 15:13:21,743449,3705,3
B8Fxvb2nuKQ,2020-02-03 03:50:44,1281683,9439,1
B8BD7bOHOM3,2020-02-01 07:53:28,901729,3257,0
B8BDv-sHJ-x,2020-02-01 07:51:54,550405,3193,0
B74ogXDn9Tl,2020-01-29 01:19:55,657769,2845,0
B7mqFbOnBXa,2020-01-22 01:47:23,132680,1374,0
B7l86r4HZHH,2020-01-21 19:12:42,227894,1587,0
B7USzJUHcPU,2020-01-14 22:37:35,593297,2220,0
B7QUT49H34D,2020-01-13 09:33:50,1006408,5661,2
B7Jd1odgROF,2020-01-10 17:46:10,425772,4559,0
B7Cepcpnr0W,2020-01-08 00:34:47,640285,1840,0
B7B77Qhn2DX,2020-01-07 19:31:23,354001,1851,0
B7B7fD-HrHe,2020-01-07 19:27:32,401628,2244,0
B7B7J9Ony0u,2020-01-07 19:24:39,260551,1175,0
B7B60esHrqn,2020-01-07 19:21:43,586803,2890,0
B7B6QkzHaXN,2020-01-07 19:16:49,361855,1522,0
B7B5p-XHxE8,2020-01-07 19:11:33,406649,1824,0
B7B5A7KnMYi,2020-01-07 19:05:56,423279,1834,0
B6zw7b9H4QA,2020-01-02 07:25:55,763457,4434,0
B6zwdXYn-R7,2020-01-02 07:21:49,595841,2890,0
B6zwCOeHUpa,2020-01-02 07:18:06,690205,3262,0
B6zvkk_HsRx,2020-01-02 07:14:03,511375,2170,1
B6xJTUaHUwm,2020-01-01 07:04:23,376039,3228,2
B6wO9PwHHhS,2019-12-31 22:31:21,167996,827,0
B6td2venQaJ,2019-12-30 20:49:48,147138,1016,0
B6pOjsoHzl2,2019-12-29 05:13:37,374069,3033,0
B6bc_JqnZIN,2019-12-23 20:49:53,701740,4206,1
B6XC2ipnSs1,2019-12-22 03:45:34,277425,3827,0
B6V-2eaneE5,2019-12-21 17:50:21,640730,4193,0
B6Tl2iAn36k,2019-12-20 19:33:26,576289,4203,0
B6Rl_RuHUH8,2019-12-20 00:56:09,466804,2774,0
B6MR75dHHJg,2019-12-17 23:24:43,233955,990,0
B6GdJRNHR2i,2019-12-15 17:07:13,1004309,6518,0
B6FshqJnJTM,2019-12-15 10:02:23,557922,2192,1
B6D8ncHnfUK,2019-12-14 17:44:30,825301,5410,0
B6DOBvxnveP,2019-12-14 10:57:24,212948,1260,0
B6BTxPfHGM9,2019-12-13 17:09:06,129196,667,0
B5_ogV_nyxk,2019-12-13 01:31:56,72509,321,0
B5_hitvnnl1,2019-12-13 00:31:09,92768,428,0
B5_au5onC4i,2019-12-12 23:31:46,65162,330,0
B5_URZyHRMF,2019-12-12 22:36:03,72881,374,0
B59BG3kHPTM,2019-12-12 01:09:04,650434,3263,0
B57HPpYnOz2,2019-12-11 07:24:12,532108,2650,0
B55686eHwP1,2019-12-10 20:17:33,418009,903,0
B53-eoGn-mB,2019-12-10 02:09:53,602109,2941,0
B53AnYzHR6B,2019-12-09 17:09:19,216369,3060,0
B52I_Txn8WB,2019-12-09 09:03:15,403141,1670,0
B5yrmQ5HeMj,2019-12-08 00:58:06,529584,4773,0
B5v8q5lH_vy,2019-12-06 23:20:10,523504,8005,0
B5vkkvqn8a6,2019-12-06 19:49:36,167939,1061,0
B5tC79vH5YE,2019-12-05 20:17:12,649630,3982,0
B5rsmiTn1l7,2019-12-05 07:42:48,531033,3440,2
B5qPJ21HTUK,2019-12-04 18:06:42,257422,2556,0
B5nqvemn_Q3,2019-12-03 18:09:35,795347,5069,0
B5lS9iOnzeh,2019-12-02 20:04:38,354085,3538,4
B5i9MjbHORp,2019-12-01 22:14:38,614275,3626,5
B5iZaYtnMBl,2019-12-01 17:04:10,363563,5754,0
B5hhtn1HlJT,2019-12-01 08:55:14,519444,2442,0
B5eJS_WnDw0,2019-11-30 01:24:23,116407,915,0
B5crrUdH-cu,2019-11-29 11:46:06,598880,2451,4
B5Vhwtennjc,2019-11-26 17:04:46,635529,1549,0
B5TWcWTnchB,2019-11-25 20:48:00,114051,1035,0
B5Lkt-eHnoy,2019-11-22 20:20:22,242798,3201,0
B5IyBoyHbFT,2019-11-21 18:18:24,121648,818,0
B5IqCM8H7in,2019-11-21 17:08:55,144121,1258,0
B5EWeMZHUvt,2019-11-20 01:24:28,467338,5516,0
B5Ds7kBHCW7,2019-11-19 18:56:03,465122,1256,0
B5CibeYnYja,2019-11-19 08:05:02,1205436,6304,0
B5BJuo_nKRP,2019-11-18 19:09:58,457532,2317,0
B4_XQgJn-pj,2019-11-18 02:29:42,631299,2559,0
B48HBMMHxn7,2019-11-16 20:10:05,1572293,10664,0
B41eVVvHnAW,2019-11-14 06:19:07,762875,3528,0
B4yw5Cknsby,2019-11-13 05:03:34,639647,4004,0
B4yMBGkHsBN,2019-11-12 23:41:21,162933,1011,0
B4xE3Cen8cf,2019-11-12 13:19:34,902737,6342,0
B4xDQRqHVBB,2019-11-12 13:05:32,282442,1746,0
B4vwf2LHxvg,2019-11-12 01:02:24,501596,3124,0
B4voN5wn-6I,2019-11-11 23:50:03,370797,1662,0
B4oWSF4Hm3g,2019-11-09 03:58:39,1003848,6190,3
B4mKcF8nlJx,2019-11-08 07:37:34,316099,2708,0
B4k0NQyHWTs,2019-11-07 19:03:10,394397,2696,0
B4gTt4vnj0X,2019-11-06 01:02:18,192862,1360,0
B4fqnBuH0pM,2019-11-05 19:03:06,828762,4240,0
B4dwNSEnRdf,2019-11-05 01:13:32,443331,3219,0
B4dOrl9nhjG,2019-11-04 20:20:35,169415,2524,0
B4ZJVdRHjas,2019-11-03 06:16:54,676730,4670,0
B4VQECMHmVq,2019-11-01 17:59:05,128163,2453,0
B4TeL-AHfHE,2019-11-01 01:23:40,768976,5906,2
B4S5HCLHmOB,2019-10-31 19:59:41,519177,3684,0
B4QZ5gtnTHF,2019-10-30 20:54:52,232370,2383,0
B4N4bVankvi,2019-10-29 21:17:31,544394,1944,0
B4LQ3YvnZPz,2019-10-28 20:53:20,434716,3816,0
B4DJIakHouB,2019-10-25 17:11:50,1566717,24872,4
B4BFnSVneIq,2019-10-24 22:08:26,636768,5872,0
B3-cevvhuHu,2019-10-23 21:25:38,263772,3606,0
B37v_PtnC6N,2019-10-22 20:19:20,268533,3710,0
B37c4LRHb49,2019-10-22 17:30:27,364337,1485,0
B327XflHHF_,2019-10-20 23:20:40,1142797,8916,0
B30ax4MHfE0,2019-10-19 23:57:26,1300268,8427,0
B3xt6gSHw9l,2019-10-18 22:46:55,356217,2404,0
B3vQPJFn5en,2019-10-17 23:49:06,735826,5557,0
B3u5YZpHNik,2019-10-17 20:42:36,216269,1855,0
B3ubCV5HmVI,2019-10-17 16:04:14,1280417,10397,0
B3snVHSHAWj,2019-10-16 23:14:52,234787,2350,0
B3sK5tBH2jD,2019-10-16 19:05:10,450442,5107,0
B3rvx9unkPG,2019-10-16 15:08:41,335696,6578,1
B3qLdFDH5ey,2019-10-16 00:31:07,168466,1858,0
B3pmFBdHGER,2019-10-15 19:04:31,168180,1145,0
B3pKU6KH3pA,2019-10-15 15:02:01,361973,5106,0
B3mlbK7HosZ,2019-10-14 15:01:05,521699,10322,1
B3iz5UmnOeS,2019-10-13 03:50:34,718374,4956,0
B3h2vQbnYzH,2019-10-12 18:56:10,588865,4651,0
B3dsXWvn7-b,2019-10-11 04:08:34,230765,1884,0
B3dJygZHDuX,2019-10-10 23:06:26,345948,2431,0
B3bJ_LtHG1n,2019-10-10 04:29:41,868107,5942,2
B3YNahHHqh0,2019-10-09 01:01:55,453607,3358,0
B3XPDNxHH8D,2019-10-08 15:56:58,88656,645,0
B3K9msMnckV,2019-10-03 21:33:38,590894,4962,1
B3F2DT5H4Q8,2019-10-01 21:51:26,1034109,9072,2
